2017-04-06 22:47:32,557 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-07 01:49:05,244 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-04-07 01:52:15,706 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/pom.xml
2017-04-07 01:52:19,625 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group13.bigdata:youtubesentimentalanalysis:0.0.1-SNAPSHOT @ /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/pom.xml.
2017-04-07 01:52:20,467 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /youtubesentimentalanalysis/src/main/java
2017-04-07 01:52:20,468 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /youtubesentimentalanalysis/src/main/resources
2017-04-07 01:52:20,497 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /youtubesentimentalanalysis/src/test/java
2017-04-07 01:52:22,396 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2017-04-07 01:52:25,224 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:52:25,265 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 01:52:25,307 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:52:25,308 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 01:53:05,990 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:53:06,007 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 01:53:06,009 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:53:06,028 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
